,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Target
0,1.0,8.0,5.0,2.0,1.0,1.0,1.0,13.0,10.0,6.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713358801770663,0.0,0.0,0.0,0.0,0.4597758381660906,0.48888888888888893,0.7661822985468957,Dropout
2,1.0,1.0,5.0,5.0,1.0,1.0,1.0,22.0,27.0,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.03773584905660377,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.3720930232558141,0.48888888888888893,0.7661822985468957,Dropout
3,1.0,8.0,2.0,15.0,1.0,1.0,1.0,23.0,27.0,6.0,4.0,1.0,0.0,0.0,0.88107202680067,0.0,0.0,0.05660377358490566,0.0,0.0,0.23076923076923078,0.17777777777777778,0.18089043764339208,0.746031746031746,0.0,0.0,0.2608695652173913,0.30303030303030304,0.25,0.6676923076923077,0.0,0.20930232558139544,0.0,0.5362402360778712,Graduate
4,2.0,12.0,1.7221404025527738,3.0,0.0,1.0,1.0,22.0,28.0,10.0,10.0,0.0,0.0,0.0,1.0,0.3569032979318055,0.0,0.5283018867924528,0.0,0.0,0.23076923076923078,0.2,0.19230769230769232,0.6851851851851852,0.0,0.0,0.2608695652173913,0.18181818181818182,0.3,0.5507202992491638,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,Graduate
5,2.0,12.0,1.0,17.0,0.0,12.0,1.0,22.0,27.0,7.332923832923833,7.847640009782343,0.0,0.0,1.0,1.0,1.0,0.0,0.6226415094339622,0.022905027932960894,0.0,0.19230769230769232,0.2222222222222222,0.18089043764339208,0.5867268303772426,0.0,0.0,0.21739130434782608,0.5151515151515151,0.25,0.6192307692307691,0.012078651685393259,1.0,0.24444444444444446,0.4147952443857332,Graduate
7,1.0,9.0,4.0,11.0,1.0,1.0,1.0,22.0,27.0,10.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.09433962264150944,0.0,0.0,0.19230769230769232,0.1111111111111111,0.0,0.0,0.0,0.0,0.21739130434782608,0.15151515151515152,0.0,0.0,0.0,0.4597758381660906,0.7999999999999999,0.0,Dropout
8,1.0,1.0,3.0,10.0,1.0,1.0,1.2323630981746423,1.0,16.403201970443348,7.332923832923833,7.847640009782343,0.0,0.0,0.0,1.0,0.0,1.0,0.07547169811320754,1.0,0.03609625668449198,0.23076923076923078,0.18473662897548515,0.18089043764339208,0.5867268303772426,0.0,0.0,0.2608695652173913,0.21212121212121213,0.3,0.7615384615384615,0.0,1.0,0.24444444444444446,0.4147952443857332,Graduate
9,1.0,1.0,1.7221404025527738,9.910414610069102,1.0,1.0,1.2323630981746423,1.0,14.0,5.0,8.0,1.0,0.0,1.0,0.0,0.3569032979318055,0.2473269555430501,0.018867924528301886,0.0,0.03609625668449198,0.23076923076923078,0.2,0.19230769230769232,0.6333333333333333,0.0,0.0,0.2608695652173913,0.42424242424242425,0.1,0.7269230769230769,0.0,0.15116279069767452,0.48888888888888893,1.0,Dropout
10,1.1773594253158286,6.925098231827112,1.0,14.0,1.0,1.0,1.0,23.0,14.0,6.0,8.0,1.0,0.012024539877300613,0.11588468061051442,0.88107202680067,0.0,0.0,0.018867924528301886,0.0,0.0,0.23076923076923078,0.13333333333333333,0.23076923076923078,0.6851851851851852,0.0,0.029234851835471032,0.2608695652173913,0.21212121212121213,0.25,0.7646153846153845,0.0,0.7325581395348838,0.1111111111111111,0.5362402360778712,Graduate
11,1.0,1.0,1.0,12.0,0.8908286206048684,1.0,1.0,13.0,28.0,7.332923832923833,10.0,1.0,0.0,0.0,1.0,0.0,1.0,0.11997929387901707,0.022905027932960894,0.0,0.3076923076923077,0.17777777777777778,0.18089043764339208,0.7341269841269841,0.0,0.0,0.34782608695652173,0.24242424242424243,0.35,0.7115384615384615,0.0,0.5930232558139534,1.0,0.3117569352708058,Graduate
