Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.4,1.74,Dropout
0.0,0.0,,0.0,19.0,,0.0,6.0,,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,13.9,-0.3,0.79,
0.0,0.0,1.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,Dropout
0.0,,0.0,0.0,20.0,0.0,0.0,6.0,8.0,,13.428571428571429,0.0,0.0,6.0,10.0,5.0,12.4,0.0,9.4,-0.8,,Graduate
0.0,1.0,,0.0,45.0,0.0,0.0,6.0,9.0,5.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,,0.0,13.9,-0.3,0.79,Graduate
1.0,1.0,1.0,0.0,50.0,,0.0,5.0,10.0,,,0.0,0.0,5.0,17.0,5.0,11.5,,16.2,0.3,-0.92,Graduate
,1.0,0.0,1.0,18.0,0.0,0.0,7.0,9.0,7.0,13.3,0.0,0.0,8.0,8.0,8.0,14.345,0.0,15.5,2.8,-4.06,
0.0,0.0,1.0,0.0,22.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,2.8,-4.06,Dropout
0.0,1.0,0.0,1.0,21.0,1.0,,6.0,,,,0.0,0.0,6.0,7.0,6.0,14.142857142857142,0.0,16.2,0.3,-0.92,Graduate
1.0,0.0,,,18.0,0.0,,6.0,9.0,5.0,11.4,0.0,0.0,6.0,14.0,2.0,13.5,0.0,8.9,1.4,3.51,Dropout
