Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Target
1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,0.0566037735849056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713358801770663,0.0,0.0,0.0,0.0,0.4597758381660906,0.4888888888888889,0.7661822985468957,Dropout
1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,0.0377358490566037,0,0.0,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.3720930232558141,0.4888888888888889,0.7661822985468957,Dropout
1,8,2,15,1,1,1,23,27,6,4,1,0,0,0,0,0,0.0566037735849056,0,0.0,0.2307692307692307,0.1777777777777777,0.180890437643392,0.746031746031746,0.0,0.0,0.2608695652173913,0.303030303030303,0.25,0.6676923076923077,0.0,0.2093023255813954,0.0,0.5362402360778712,Graduate
2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,0.5283018867924528,0,0.0,0.2307692307692307,0.2,0.1923076923076923,0.6851851851851852,0.0,0.0,0.2608695652173913,0.1818181818181818,0.3,0.5507202992491638,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,Graduate
2,12,1,17,0,12,1,22,27,7,7,0,0,1,1,1,0,0.6226415094339622,0,0.0,0.1923076923076923,0.2222222222222222,0.180890437643392,0.5867268303772426,0.0,0.0,0.217391304347826,0.5151515151515151,0.25,0.6192307692307691,0.0120786516853932,1.0,0.2444444444444444,0.4147952443857332,Graduate
1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,0.0943396226415094,0,0.0,0.1923076923076923,0.1111111111111111,0.0,0.0,0.0,0.0,0.217391304347826,0.1515151515151515,0.0,0.0,0.0,0.4597758381660906,0.7999999999999999,0.0,Dropout
1,1,3,10,1,1,1,1,16,7,7,0,0,0,1,0,1,0.0754716981132075,1,0.0360962566844919,0.2307692307692307,0.1847366289754851,0.180890437643392,0.5867268303772426,0.0,0.0,0.2608695652173913,0.2121212121212121,0.3,0.7615384615384615,0.0,1.0,0.2444444444444444,0.4147952443857332,Graduate
1,1,1,9,1,1,1,1,14,5,8,1,0,1,0,0,0,0.0188679245283018,0,0.0360962566844919,0.2307692307692307,0.2,0.1923076923076923,0.6333333333333333,0.0,0.0,0.2608695652173913,0.4242424242424242,0.1,0.7269230769230769,0.0,0.1511627906976745,0.4888888888888889,1.0,Dropout
1,6,1,14,1,1,1,23,14,6,8,1,0,0,0,0,0,0.0188679245283018,0,0.0,0.2307692307692307,0.1333333333333333,0.2307692307692307,0.6851851851851852,0.0,0.029234851835471,0.2608695652173913,0.2121212121212121,0.25,0.7646153846153845,0.0,0.7325581395348838,0.1111111111111111,0.5362402360778712,Graduate
1,1,1,12,0,1,1,13,28,7,10,1,0,0,1,0,1,0.119979293879017,0,0.0,0.3076923076923077,0.1777777777777777,0.180890437643392,0.7341269841269841,0.0,0.0,0.3478260869565217,0.2424242424242424,0.35,0.7115384615384615,0.0,0.5930232558139534,1.0,0.3117569352708058,Graduate
